,job_title,company_name,experience,when_posted,job_url
0,Business analyst -Taxation,Infosys Limited,4 to 6 Yrs,2 Hours ago,https://www.shine.com/jobs/business-analyst-taxation/infosys-limited/11240526/
1,Hiring For India's biggest online investment platform company- GROWW,Quess Corp (Magna Infotech),1 to 5 Yrs,5 Hours ago,https://www.shine.com/jobs/hiring-for-indias-biggest-online-investment-platform-company-groww/quess-corp-magna-infotech/11239959/
2,Webmethods Developer,HARJAI COMPUTERS PRIVATE LIMITED,3 to 8 Yrs,18 Hours ago,https://www.shine.com/jobs/webmethods-developer/harjai-computers-private-limited/11239419/
3,Urgent Hiring for Sr.Relationship Manager North India,RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,1 to 6 Yrs,18 Hours ago,https://www.shine.com/jobs/urgent-hiring-for-srrelationship-manager-north-india/reliance-nippon-life-insurance-company-limited/11240007/
4,Urgent Hiring for Deputy Chief Manager Sustainability,Aditya Birla Management Corporation Pvt. Ltd.,5 to 8 Yrs,18 Hours ago,https://www.shine.com/jobs/urgent-hiring-for-deputy-chief-manager-sustainability/aditya-birla-management-corporation-pvt-ltd/11240698/
5,Opening for NodeJs Developer for Mumbai Location .(WFO).,HARJAI COMPUTERS PRIVATE LIMITED,3 to 8 Yrs,18 Hours ago,https://www.shine.com/jobs/opening-for-nodejs-developer-for-mumbai-location-wfo/harjai-computers-private-limited/11240572/
6,"Lead Consultant, Java Angular",Genpact India Pvt. Ltd.,3 to 5 Yrs,"Feb 16, 2021",https://www.shine.com/jobs/lead-consultant-java-angular/genpact-india-pvt-ltd/11237674/
7,Lead Consultant - CMC,Genpact India Pvt. Ltd.,2 to 3 Yrs,"Feb 16, 2021",https://www.shine.com/jobs/lead-consultant-cmc/genpact-india-pvt-ltd/11237656/
8,QA-Manual Testing-Mumbai,Genpact India Pvt. Ltd.,1 to 3 Yrs,"Feb 16, 2021",https://www.shine.com/jobs/qa-manual-testing-mumbai/genpact-india-pvt-ltd/11237652/
9,QA-API Automation -Mumbai,Genpact India Pvt. Ltd.,1 to 3 Yrs,"Feb 16, 2021",https://www.shine.com/jobs/qa-api-automation-mumbai/genpact-india-pvt-ltd/11237647/
10,"Lead Consultant, Java Developer",Genpact India Pvt. Ltd.,3 to 5 Yrs,"Feb 16, 2021",https://www.shine.com/jobs/lead-consultant-java-developer/genpact-india-pvt-ltd/11237622/
11,Opening for Dot net Developer and Its permanent Vacancy for Mumbai Location.,HARJAI COMPUTERS PRIVATE LIMITED,10 to 16 Yrs,"Feb 16, 2021",https://www.shine.com/jobs/opening-for-dot-net-developer-and-its-permanent-vacancy-for-mumbai-location/harjai-computers-private-limited/11238820/
12,Customer Support Executive,Hinduja Global Solutions Limited (HGS),0 to 4 Yrs,"Feb 16, 2021",https://www.shine.com/jobs/customer-support-executive/hinduja-global-solutions-limited-hgs/11238240/
13,Kyc Analyst,Quess Corp (Magna Infotech),1 to 4 Yrs,"Feb 16, 2021",https://www.shine.com/jobs/kyc-analyst/quess-corp-magna-infotech/11238581/
14,Opening for Dotnet core developer for Mumbai Location .(WFO).,HARJAI COMPUTERS PRIVATE LIMITED,6 to 11 Yrs,"Feb 16, 2021",https://www.shine.com/jobs/opening-for-dotnet-core-developer-for-mumbai-location-wfo/harjai-computers-private-limited/11238823/
15,Assistant Vice President - Business Development & Operations,Genpact India Pvt. Ltd.,3 to 5 Yrs,"Feb 15, 2021",https://www.shine.com/jobs/assistant-vice-president-business-development-operations/genpact-india-pvt-ltd/11237195/
16,Business Analyst - Regulatory Affairs,Genpact India Pvt. Ltd.,3 to 5 Yrs,"Feb 15, 2021",https://www.shine.com/jobs/business-analyst-regulatory-affairs/genpact-india-pvt-ltd/11162407/
17,Urgent Hiring for Digital Marketing Manager,Aditya Birla Management Corporation Pvt. Ltd.,4 to 8 Yrs,"Feb 15, 2021",https://www.shine.com/jobs/urgent-hiring-for-digital-marketing-manager/aditya-birla-management-corporation-pvt-ltd/11236513/
18,Business analyst -Taxation,Infosys Limited,2 to 5 Yrs,"Feb 13, 2021",https://www.shine.com/jobs/business-analyst-taxation/infosys-limited/11233937/
